Countries,Burnt_ha,nineties_forests
Portugal,3699907,3436190
Spain,3664241,13809490
France,563412,14436000
Italy,2541753,7590000
Greece,1167347.25,3299000
Austria,2125,3776000
Bulgaria,318117.9,3327000
Croatia,362572,1850000
Cyprus,42876,161110
Czech Rep.,11143,2629420
Estonia,9080,2205900
Finland,11462,21896770
Germany,20547,11300000
Hungary,60265,1801260
Latvia,25234.2,3173000
Lithuania,7153,1945000
Poland,197239,8881000
Romania,159355,6371000
Slovakia,10160,1921700
Slovenia,6652.48,1188000
Sweden,57183,28063000
